"Package","r-develLinuxx86_64(Debian Clang)","r-develLinuxx86_64(Debian GCC)","r-develLinuxx86_64(Fedora Clang)","r-develLinuxx86_64(Fedora GCC)","r-develWindowsx86_64","r-oldrelmacOSarm64","r-oldrelmacOSx86_64","r-oldrelWindowsx86_64","r-patchedLinuxx86_64","r-releaseLinuxx86_64","r-releasemacOSarm64","r-releasemacOSx86_64","r-releaseWindowsx86_64"
"cricketdata","","","","","","","","","","OK","","",""
"cricketdata","OK","OK","OK","OK","OK","NOTE","NOTE","NOTE","OK","","OK","OK","OK"
"demography","","","","","","","","","","OK","","",""
"demography","NOTE","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"distributional","","","","","","","","","","NOTE","","",""
"distributional","NOTE","NOTE","NOTE","NOTE","NOTE","OK","OK","OK","NOTE","","NOTE","NOTE","NOTE"
"expsmooth","","","","","","","","","","OK","","",""
"expsmooth","NOTE","NOTE","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"fable","","","","","","","","","","OK","","",""
"fable","NOTE","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"fabletools","","","","","","","","","","OK","","",""
"fabletools","NOTE","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"feasts","","","","","","","","","","OK","","",""
"feasts","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"fma","","","","","","","","","","OK","","",""
"fma","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"forecast","","","","","","","","","","OK","","",""
"forecast","NOTE","OK","OK","OK","OK","NOTE","NOTE","OK","OK","","OK","OK","OK"
"fpp3","","","","","","","","","","OK","","",""
"fpp3","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"gratis","","","","","","","","","","OK","","",""
"gratis","NOTE","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"gravitas","","","","","","","","","","OK","","",""
"gravitas","NOTE","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"hdrcde","","","","","","","","","","OK","","",""
"hdrcde","OK","OK","OK","OK","NOTE","OK","OK","NOTE","OK","","OK","OK","NOTE"
"hts","","","","","","","","","","OK","","",""
"hts","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"lookout","","","","","","","","","","OK","","",""
"lookout","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"Mcomp","","","","","","","","","","OK","","",""
"Mcomp","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"ozbabynames","","","","","","","","","","OK","","",""
"ozbabynames","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"stR","","","","","","","","","","OK","","",""
"stR","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"thief","","","","","","","","","","OK","","",""
"thief","NOTE","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"tsfeatures","","","","","","","","","","OK","","",""
"tsfeatures","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"tsibble","","","","","","","","","","OK","","",""
"tsibble","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"tsibbledata","","","","","","","","","","OK","","",""
"tsibbledata","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"vitae","","","","","","","","","","OK","","",""
"vitae","OK","OK","OK","OK","OK","OK","OK","OK","OK","","OK","OK","OK"
"vital","","","","","","","","","","OK","","",""
"vital","NOTE","OK","OK","OK","OK","NOTE","NOTE","NOTE","OK","","OK","OK","OK"
