"owner","repo","last_push","stars","forks","open_issues","last_issue_activity"
"earowang","hts",2024-07-30 12:58:55,110,36,20,2024-05-31 06:33:56
"FinYang","tsdl",2020-07-12 23:35:29,105,42,2,2024-08-09 10:25:25
"jforbes14","eechidna",2023-06-15 06:52:42,43,6,3,2023-10-07 11:18:54
"mitchelloharawild","distributional",2024-11-08 05:59:42,99,16,34,2024-10-18 14:03:53
"mitchelloharawild","vitae",2024-07-10 15:47:56,1230,241,43,2024-10-16 18:57:27
"numbats","monash",2024-09-17 07:50:32,22,17,9,2023-08-29 23:23:09
"PuwasalaG","conduits",2023-04-18 09:13:32,3,1,0,NA
"robjhyndman","compenginets",2024-02-28 03:48:40,2,3,0,NA
"robjhyndman","cricketdata",2023-10-23 01:46:34,83,23,1,2023-11-28 03:17:03
"robjhyndman","demography",2023-07-18 01:30:03,73,25,13,2023-11-06 06:58:30
"robjhyndman","expsmooth",2023-07-18 01:36:47,14,10,0,NA
"robjhyndman","fma",2023-11-19 22:05:36,18,8,0,NA
"robjhyndman","forecast",2024-08-30 03:02:00,1125,342,12,2024-02-29 04:34:30
"robjhyndman","fpp",2023-07-18 01:30:04,105,50,0,NA
"robjhyndman","fpp2-package",2023-07-18 01:30:04,105,50,0,NA
"robjhyndman","fpp3",2024-09-18 02:20:52,137,36,0,NA
"robjhyndman","hdrcde",2023-07-18 01:33:37,23,6,0,NA
"robjhyndman","Mcomp",2024-07-01 08:04:13,12,7,0,NA
"robjhyndman","MEFM-package",2024-06-13 00:31:26,55,32,0,NA
"robjhyndman","ozbabynames",2024-10-22 22:10:16,10,4,6,2024-10-21 04:36:50
"robjhyndman","pkgmeta",2023-09-20 17:08:34,2,0,0,NA
"robjhyndman","rcademy",2024-09-25 08:18:48,14,5,2,2020-02-20 04:35:46
"robjhyndman","stR",2024-07-29 00:11:15,6,0,1,2024-09-30 02:08:49
"robjhyndman","TACforecasting",2023-07-18 01:33:39,2,0,0,NA
"robjhyndman","thief",2023-07-18 01:31:52,46,11,0,NA
"robjhyndman","tscompdata",2023-07-18 01:34:42,18,5,0,NA
"robjhyndman","tsfeatures",2024-07-23 02:41:11,253,42,1,2022-04-25 00:45:47
"robjhyndman","vital",2024-11-06 22:41:16,26,1,8,2024-11-06 22:30:57
"robjhyndman","weird-package",2024-11-07 05:12:19,12,0,1,2024-09-30 03:54:20
"Sayani07","gghdr",2024-02-07 09:54:49,50,5,7,2024-04-19 06:16:26
"Sayani07","gravitas",2022-06-14 01:25:32,15,2,10,2022-06-14 01:58:38
"sevvandi","lookout",2024-10-25 02:11:00,30,0,1,2022-10-20 04:23:33
"tidyverts","fable",2024-11-08 05:28:59,564,66,65,2024-06-25 06:16:30
"tidyverts","fable.binary",2023-12-11 09:43:15,7,0,0,NA
"tidyverts","fabletools",2024-11-08 04:20:58,90,31,81,2024-10-30 21:42:28
"tidyverts","feasts",2024-11-08 04:37:54,294,23,23,2024-08-26 17:03:28
"tidyverts","tsibble",2024-06-26 11:46:46,531,49,26,2024-07-11 06:18:29
"tidyverts","tsibbledata",2024-11-11 04:15:01,25,17,0,NA
"ykang","gratis",2024-04-08 01:09:20,76,29,0,NA
"quarto-monash","exam",2024-09-17 00:47:22,1,0,0,NA
"quarto-monash","letter",2024-10-09 05:12:11,4,9,0,NA
"quarto-monash","memo",2024-10-14 03:34:42,2,2,0,NA
"quarto-monash","presentation",2024-10-28 21:41:25,1,2,1,2024-05-29 05:53:08
"quarto-monash","report",2024-10-09 06:22:36,26,7,0,NA
"quarto-monash","thesis",2024-10-09 22:52:22,42,32,0,NA
"quarto-monash","workingpaper",2024-08-30 07:44:22,8,6,0,NA
